Month,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2016-12,BATS BYX (Y),3165134147,1503927031,1531878092,6200939270,95630887378.17212,58199115846.556984,49450163528.23318,203280166752.9623,28542747,6651218,14110704,49304669
2016-12,BATS BZX (Z),4155356960,1964412215,2106636755,8226405930,141621641333.77625,107801655688.48584,84519564435.1835,333942861457.4457,34313866,8827777,17012811,60154454
2016-12,CHX (M),201412800,323438486,121860626,646711912,8704437417.5746,29104300171.506397,9992776049.376299,47801513638.4573,71187,112334,22930,206451
2016-12,EDGA (J),1719323488,832163524,846590950,3398077962,54068965669.5975,37704365551.88601,28546224956.637894,120319556178.1214,14837890,4005496,6901968,25745354
2016-12,EDGX (K),4196272742,2316114404,3527540731,10039927877,147424034757.04544,106721217076.18678,120479702767.94255,374624954601.17474,29906632,8830245,21513929,60250806
2016-12,IEX (V),1402461962,372406366,657341475,2432209803,54256425713.67879,17689675151.039093,28229296549.31749,100175397414.03537,8447193,1510374,4098231,14055798
2016-12,NASDAQ (DQ),24668999718,11870577462,14353564071,50893141251,794842368096.6968,547029721404.09143,472290759768.9399,1814162849269.7283,75191395,21679943,40980120,137851458
2016-12,NASDAQ (Q),7560341212,2551589339,9777594255,19889524806,305296480883.431,143045173529.2388,428189968600.3484,876531623013.0182,66217017,10368386,57122393,133707796
2016-12,NASDAQ BX (B),1961026899,693653346,1086918943,3741599188,72131715276.5844,30812296127.341785,40791356801.79658,143735368205.72278,19411520,3424398,10804238,33640156
2016-12,NASDAQ PSX (X),507678418,432137078,400701451,1340516947,17329473742.6094,22647936562.1945,16052538176.201801,56029948481.00572,3991988,1949086,2924295,8865369
